CLASS,MESSAGE
prosthesis_products,show me your products for hand amputees
prosthesis_products,show me your solutions for hand amputees
prosthesis_products,products menu for hand amputees
prosthesis_products,solutions menu for hand amputees
prosthesis_products,solutions list for hand amputees
prosthesis_products,products list for hand amputees
prosthesis_products,solutions info for hand amputees
prosthesis_products,product info for hand amputees
prosthesis_products,give products and their details
prosthesis_products,products information for hand amputees
prosthesis_products,solutions information for hand amputees
prosthesis_products,show me your product information for hand amputees
prosthesis_products,show me your product info for hand amputees
prosthesis_products,show me your solutions information for hand amputees
prosthesis_products,show me your solutions info for hand amputees
prosthesis_products,info of your products for hand amputees
prosthesis_products,info of your solutions for hand amputees
prosthesis_products,what all do you sell for hand amputees?
prosthesis_products,what products do you sell for hand amputees?
prosthesis_products,what does handyman sell for hand amputees?
prosthesis_products,what products available for hand amputees?
prosthesis_products,what solutions available for hand amputees?
prosthesis_products,available products for hand amputees
prosthesis_products,available solutions for hand amputees
prosthesis_products,Tell me about your products for hand amputation
prosthesis_products,Tell me about your solutions for hand amputation
prosthesis_products,Show me your product catalogue for hand amputation?
prosthesis_products,Can you show me your catalogue for hand amputation?
prosthesis_products,Products list for hand amputation
prosthesis_products,solutions list for hand amputation
prosthesis_products,What products do you have for hand amputation
prosthesis_products,What solutions do you have for hand amputation
prosthesis_products,Handyman products for hand amputation
prosthesis_products,Show all products for hand amputation
prosthesis_products,Show all solutions for hand amputation
prosthesis_products,list of your products for hand amputation
prosthesis_products,list of your solutions for hand amputation
prosthesis_products,list of handyman products for hand amputation
prosthesis_products,all your company products for hand amputation
prosthesis_products,all your company solutions for hand amputation
prosthesis_products,your products for hand amputation
prosthesis_products,your solutions for hand amputation
prosthesis_products,show me your products for hand amputation
prosthesis_products,show me your solutions for hand amputation
prosthesis_products,products menu for hand amputation
prosthesis_products,solutions menu for hand amputation
prosthesis_products,solutions list for hand amputation
prosthesis_products,products list for hand amputation
prosthesis_products,solutions info for hand amputation
prosthesis_products,product info for hand amputation
prosthesis_products,give products and their details for hand amputation
prosthesis_products,products information for hand amputation
prosthesis_products,solutions information for hand amputation
prosthesis_products,show me your product information for hand amputation
prosthesis_products,show me your product info for hand amputation
prosthesis_products,show me your solutions information for hand amputation
prosthesis_products,show me your solutions info for hand amputation
prosthesis_products,info of your products for hand amputation
prosthesis_products,info of your solutions for hand amputation
prosthesis_products,what all do you sell for hand amputation
prosthesis_products,what products do you sell for hand amputation
prosthesis_products,what does handyman sell for hand amputation
prosthesis_products,what products available for hand amputation
prosthesis_products,what solutions available for hand amputation
prosthesis_products,available products for hand amputation
prosthesis_products,available solutions for hand amputation
prosthesis_products,Tell me about your products for hand prosthetics
prosthesis_products,Tell me about your solutions for hand prosthetics
prosthesis_products,Show me your product catalogue for hand prosthetics?
prosthesis_products,Can you show me your catalogue for hand prosthetics?
prosthesis_products,Products list for hand prosthetics
prosthesis_products,solutions list for hand prosthetics
prosthesis_products,What products do you have for hand prosthetics
prosthesis_products,What solutions do you have for hand prosthetics
prosthesis_products,Handyman products for hand prosthetics
prosthesis_products,Show all products for hand prosthetics
prosthesis_products,Show all solutions for hand prosthetics
prosthesis_products,list of your products for hand prosthetics
prosthesis_products,list of your solutions for hand prosthetics
prosthesis_products,list of handyman products for hand prosthetics
prosthesis_products,all your company products for hand prosthetics
prosthesis_products,all your company solutions for hand prosthetics
prosthesis_products,your products for hand prosthetics
prosthesis_products,your solutions for hand prosthetics
prosthesis_products,show me your products for hand prosthetics
prosthesis_products,show me your solutions for hand prosthetics
prosthesis_products,products menu for hand prosthetics
prosthesis_products,solutions menu for hand prosthetics
prosthesis_products,solutions list for hand prosthetics
prosthesis_products,products list for hand prosthetics
prosthesis_products,solutions info for hand prosthetics
prosthesis_products,product info for hand prosthetics
prosthesis_products,give products and their details for hand prosthetics
prosthesis_products,products information for hand prosthetics
prosthesis_products,solutions information for hand prosthetics
prosthesis_products,show me your product information for hand prosthetics
prosthesis_products,show me your product info for hand prosthetics
prosthesis_products,show me your solutions information for hand prosthetics
prosthesis_products,show me your solutions info for hand prosthetics
prosthesis_products,info of your products for hand prosthetics
prosthesis_products,info of your solutions for hand prosthetics
prosthesis_products,what all do you sell for hand prosthetics?
prosthesis_products,what products do you sell for hand prosthetics?
prosthesis_products,what does handyman sell for hand prosthetics?
prosthesis_products,what products available for hand prosthetics?
prosthesis_products,what solutions available for hand prosthetics?
prosthesis_products,available products for hand prosthetics
prosthesis_products,available solutions for hand prosthetics
prosthesis_products,Tell me about your products for hand prosthesis
prosthesis_products,Tell me about your solutions for hand prosthesis
prosthesis_products,Show me your product catalogue for hand prosthesis?
prosthesis_products,Can you show me your catalogue for hand prosthesis?
prosthesis_products,Products list for hand prosthesis
prosthesis_products,solutions list for hand prosthesis
prosthesis_products,What products do you have for hand prosthesis
prosthesis_products,What solutions do you have for hand prosthesis
prosthesis_products,Handyman products for hand prosthesis
prosthesis_products,Show all products for hand prosthesis
prosthesis_products,Show all solutions for hand prosthesis
prosthesis_products,list of your products for hand prosthesis
prosthesis_products,list of your solutions for hand prosthesis
prosthesis_products,list of handyman products for hand prosthesis
prosthesis_products,all your company products for hand prosthesis
prosthesis_products,all your company solutions for hand prosthesis
prosthesis_products,your products for hand prosthesis
prosthesis_products,your solutions for hand prosthesis
prosthesis_products,show me your products for hand prosthesis
prosthesis_products,show me your solutions for hand prosthesis
prosthesis_products,products menu for hand prosthesis
prosthesis_products,solutions menu for hand prosthesis
prosthesis_products,solutions list for hand prosthesis
prosthesis_products,products list for hand prosthesis
prosthesis_products,solutions info for hand prosthesis
prosthesis_products,product info for hand prosthesis
prosthesis_products,give products and their details for hand prosthesis
prosthesis_products,products information for hand prosthesis
prosthesis_products,solutions information for hand prosthesis
prosthesis_products,show me your product information for hand prosthesis
prosthesis_products,show me your product info for hand prosthesis
prosthesis_products,show me your solutions information for hand prosthesis
prosthesis_products,show me your solutions info for hand prosthesis
prosthesis_products,info of your products for hand prosthesis
prosthesis_products,info of your solutions for hand prosthesis
prosthesis_products,what all do you sell for hand prosthesis?
prosthesis_products,what products do you sell for hand prosthesis?
prosthesis_products,what does handyman sell for hand prosthesis?
prosthesis_products,what products available for hand prosthesis?
prosthesis_products,what solutions available for hand prosthesis?
prosthesis_products,available products for hand prosthesis
prosthesis_products,available solutions for hand prosthesis
exoskeleton_product,Tell me about your products for hand muscle rehabilitation
exoskeleton_product,Tell me about your solutions for hand muscle rehabilitation
exoskeleton_product,Show me your product catalogue for hand muscle rehabilitation?
exoskeleton_product,Can you show me your catalogue for hand muscle rehabilitation?
exoskeleton_product,Products list for hand muscle rehabilitation
exoskeleton_product,solutions list for hand muscle rehabilitation
exoskeleton_product,What products do you have for hand muscle rehabilitation
exoskeleton_product,What solutions do you have for hand muscle rehabilitation
exoskeleton_product,Handyman products for hand muscle rehabilitation
exoskeleton_product,Show all products for hand muscle rehabilitation
exoskeleton_product,Show all solutions for hand muscle rehabilitation
exoskeleton_product,list of your products for hand muscle rehabilitation
exoskeleton_product,list of your solutions for hand muscle rehabilitation
exoskeleton_product,list of handyman products for hand muscle rehabilitation
exoskeleton_product,all your company products for hand muscle rehabilitation
exoskeleton_product,all your company solutions for hand muscle rehabilitation
exoskeleton_product,your products for hand muscle rehabilitation
exoskeleton_product,your solutions for hand muscle rehabilitation
exoskeleton_product,show me your products for hand muscle rehabilitation
exoskeleton_product,show me your solutions for hand muscle rehabilitation
exoskeleton_product,products menu for hand muscle rehabilitation
exoskeleton_product,solutions menu for hand muscle rehabilitation
exoskeleton_product,solutions list for hand muscle rehabilitation
exoskeleton_product,products list for hand muscle rehabilitation
exoskeleton_product,solutions info for hand muscle rehabilitation
exoskeleton_product,product info for hand muscle rehabilitation
exoskeleton_product,give products and their details for hand muscle rehabilitation
exoskeleton_product,products information for hand muscle rehabilitation
exoskeleton_product,solutions information for hand muscle rehabilitation
exoskeleton_product,show me your product information for hand muscle rehabilitation
exoskeleton_product,show me your product info for hand muscle rehabilitation
exoskeleton_product,show me your solutions information for hand muscle rehabilitation
exoskeleton_product,show me your solutions info for hand muscle rehabilitation
exoskeleton_product,info of your products for hand muscle rehabilitation
exoskeleton_product,info of your solutions for hand muscle rehabilitation
exoskeleton_product,what all do you sell for hand muscle rehabilitation?
exoskeleton_product,what products do you sell for hand muscle rehabilitation?
exoskeleton_product,what does handyman sell for hand muscle rehabilitation?
exoskeleton_product,what products available for hand muscle rehabilitation?
exoskeleton_product,what solutions available for hand muscle rehabilitation?
exoskeleton_product,available products for hand muscle rehabilitation
exoskeleton_product,available solutions
exoskeleton_product,Tell me about your products for hand paralysis
exoskeleton_product,Tell me about your solutions for hand paralysis
exoskeleton_product,Show me your product catalogue for hand paralysis?
exoskeleton_product,Can you show me your catalogue for hand paralysis?
exoskeleton_product,Products list for hand paralysis
exoskeleton_product,solutions list for hand paralysis
exoskeleton_product,What products do you have for hand paralysis
exoskeleton_product,What solutions do you have for hand paralysis
exoskeleton_product,Handyman products for hand paralysis
exoskeleton_product,Show all products for hand paralysis
exoskeleton_product,Show all solutions for hand paralysis
exoskeleton_product,list of your products for hand paralysis
exoskeleton_product,list of your solutions for hand paralysis
exoskeleton_product,list of handyman products for hand paralysis
exoskeleton_product,all your company products for hand paralysis
exoskeleton_product,all your company solutions for hand paralysis
exoskeleton_product,your products for hand paralysis
exoskeleton_product,your solutions for hand paralysis
exoskeleton_product,show me your products for hand paralysis
exoskeleton_product,show me your solutions for hand paralysis
exoskeleton_product,products menu for hand paralysis
exoskeleton_product,solutions menu for hand paralysis
exoskeleton_product,solutions list for hand paralysis
exoskeleton_product,products list for hand paralysis
exoskeleton_product,solutions info for hand paralysis
exoskeleton_product,product info for hand paralysis
exoskeleton_product,give products and their details for hand paralysis
exoskeleton_product,products information for hand paralysis
exoskeleton_product,solutions information for hand paralysis
exoskeleton_product,show me your product information for hand paralysis
exoskeleton_product,show me your product info for hand paralysis
exoskeleton_product,show me your solutions information for hand paralysis
exoskeleton_product,show me your solutions info for hand paralysis
exoskeleton_product,info of your products for hand paralysis
exoskeleton_product,info of your solutions for hand paralysis
exoskeleton_product,what all do you sell for hand paralysis?
exoskeleton_product,what products do you sell for hand paralysis?
exoskeleton_product,what does handyman sell for hand paralysis?
exoskeleton_product,what products available for hand paralysis?
exoskeleton_product,what solutions available for hand paralysis?
exoskeleton_product,available products for hand paralysis
exoskeleton_product,available solutions for hand paralysis
exoskeleton_product,Tell me about your products for hand exoskeleton
exoskeleton_product,Tell me about your solutions for hand exoskeleton
exoskeleton_product,Show me your product catalogue for hand exoskeleton?
exoskeleton_product,Can you show me your catalogue for hand exoskeleton?
exoskeleton_product,Products list for hand exoskeleton
exoskeleton_product,solutions list for hand exoskeleton
exoskeleton_product,What products do you have for hand exoskeleton
exoskeleton_product,What solutions do you have for hand exoskeleton
exoskeleton_product,Handyman products for hand exoskeleton
exoskeleton_product,Show all products for hand exoskeleton
exoskeleton_product,Show all solutions for hand exoskeleton
exoskeleton_product,list of your products for hand exoskeleton
exoskeleton_product,list of your solutions for hand exoskeleton
exoskeleton_product,list of handyman products for hand exoskeleton
exoskeleton_product,all your company products for hand exoskeleton
exoskeleton_product,all your company solutions for hand exoskeleton
exoskeleton_product,your products for hand exoskeleton
exoskeleton_product,your solutions for hand exoskeleton
exoskeleton_product,show me your products for hand exoskeleton
exoskeleton_product,show me your solutions for hand exoskeleton
exoskeleton_product,products menu for hand exoskeleton
exoskeleton_product,solutions menu for hand exoskeleton
exoskeleton_product,solutions list for hand exoskeleton
exoskeleton_product,products list for hand exoskeleton
exoskeleton_product,solutions info for hand exoskeleton
exoskeleton_product,product info for hand exoskeleton
exoskeleton_product,give products and their details for hand exoskeleton
exoskeleton_product,products information for hand exoskeleton
exoskeleton_product,solutions information for hand exoskeleton
exoskeleton_product,show me your product information for hand exoskeleton
exoskeleton_product,show me your product info for hand exoskeleton
exoskeleton_product,show me your solutions information for hand exoskeleton
exoskeleton_product,show me your solutions info for hand exoskeleton
exoskeleton_product,info of your products for hand exoskeleton
exoskeleton_product,info of your solutions for hand exoskeleton
exoskeleton_product,what all do you sell for hand exoskeleton?
exoskeleton_product,what products do you sell for hand exoskeleton?
exoskeleton_product,what does handyman sell for hand exoskeleton?
exoskeleton_product,what products available for hand exoskeleton?
exoskeleton_product,what solutions available for hand exoskeleton?
exoskeleton_product,available products for hand exoskeleton
exoskeleton_product,available solutions for hand exoskeleton
demo_request,can you show me demo of your products
demo_request,can you show me demo of your solutions
demo_request,can I see a demo
demo_request,can you show me demo
demo_request,any videos of product
demo_request,any videos of solution
demo_request,demo
demo_request,demonstration
demo_request,videos
demo_request,how do these products work?
demo_request,how do these solutions work?
demo_request,can I see visuals of product working
demo_request,can i get a demonstration
demo_request,can you show me how these products work
demo_request,can i see a video of the product
demo_request,show me video of product
demo_request,show me demonstration
demo_request,show me demo
demo_request,show me videos
demo_request,show me visuals
demo_request,show me visualization
demo_request,show me product working
demo_request,product demo
demo_request,product demonstration
demo_request,product working
demo_request,solution demo
demo_request,solution demonstration
demo_request,solution working
demo_request,solution video
buy_request,I would like to buy your product
buy_request,I would like to buy exo 0
buy_request,I would like to buy exo0
buy_request,I would like to buy mark 1
buy_request,I would like to buy mark1
buy_request,I would like to buy mark I
buy_request,I would like to buy markI
buy_request,I would like to buy mark 2
buy_request,I would like to buy mark2
buy_request,I would like to buy mark ii
buy_request,I would like to buy markii
buy_request,I would like to purchase your product
buy_request,I would like to purchase exo 0
buy_request,I would like to purchase mark 1
buy_request,I would like to purchase mark 2
buy_request,I would like to purchase mark1
buy_request,I would like to purchase mark2
buy_request,I would like to purchase marki
buy_request,I would like to purchase markii
buy_request,I would like to purchase mark i
buy_request,I would like to purchase mark ii
buy_request,I would like to get your product
buy_request,I would like to get exo 0
buy_request,I would like to get exo0
buy_request,I would like to get mark 1
buy_request,I would like to get mark1
buy_request,I would like to get mark I
buy_request,I would like to get markI
buy_request,I would like to get mark 2
buy_request,I would like to get mark2
buy_request,I would like to get mark ii
buy_request,I would like to get markii
end_convo,"No, thank you"
end_convo,thank you
end_convo,i am done
end_convo,bye
end_convo,finished
end_convo,nothing needed
end_convo,no
end_convo,nothing
end_convo,thanks
end_convo,not required
end_convo,close
end_convo,end
end_convo,that is all
end_convo,that's all
end_convo,no. Good bye
end_convo,no. goodbye
end_convo,not needed
end_convo,no need
